recency_days,frequency,avg_order_value,cart_abandon_rate,promotion_type,source
185.0,6,2490.23,0.06,NoPromotion,synthetic
162.0,6,1410.2,0.71,NoPromotion,synthetic
238.0,11,1751.27,0.84,NoPromotion,synthetic
252.0,5,301.86,0.7,FreeShipping,synthetic
169.0,8,2072.46,0.71,NoPromotion,synthetic
4.0,12,303.61,0.99,FreeShipping,synthetic
364.0,0,2212.86,0.24,Discount,synthetic
326.0,8,1520.53,0.35,NoPromotion,synthetic
251.0,14,1256.0,0.38,NoPromotion,synthetic
166.0,10,696.94,0.33,FreeShipping,synthetic
172.0,12,1072.49,0.57,NoPromotion,synthetic
147.0,11,1941.27,0.82,NoPromotion,synthetic
0.0,2,1500.09,0.96,FreeShipping,synthetic
311.0,0,636.63,0.96,Discount,synthetic
43.0,12,2427.71,0.04,NoPromotion,synthetic
148.0,5,2319.14,0.92,NoPromotion,synthetic
163.0,2,1768.99,0.08,Discount,synthetic
304.0,13,806.79,1.0,NoPromotion,synthetic
53.0,5,1022.08,0.74,NoPromotion,synthetic
11.0,9,2380.99,0.89,NoPromotion,synthetic
155.0,4,765.71,0.19,FreeShipping,synthetic
185.0,11,1500.77,0.08,NoPromotion,synthetic
40.0,3,2466.91,0.7,NoPromotion,synthetic
144.0,8,842.87,0.81,NoPromotion,synthetic
219.0,12,419.64,0.08,FreeShipping,synthetic
81.0,2,1841.73,0.61,FreeShipping,synthetic
311.0,13,2178.55,0.05,NoPromotion,synthetic
118.0,7,1003.51,0.81,NoPromotion,synthetic
223.0,14,461.0,0.59,FreeShipping,synthetic
62.0,8,2427.79,0.84,NoPromotion,synthetic
97.0,8,1095.57,0.27,NoPromotion,synthetic
310.0,5,1760.11,0.53,NoPromotion,synthetic
132.0,5,2291.6,0.59,NoPromotion,synthetic
52.0,4,1916.99,0.38,NoPromotion,synthetic
84.0,13,592.11,0.25,Discount,synthetic
259.0,13,2207.73,0.76,NoPromotion,synthetic
33.0,11,744.81,0.02,FreeShipping,synthetic
117.0,2,1348.39,0.85,FreeShipping,synthetic
221.0,10,1068.36,0.13,NoPromotion,synthetic
302.0,6,1912.33,0.62,NoPromotion,synthetic
65.0,10,611.11,0.14,Discount,synthetic
293.0,1,1515.8,0.39,Discount,synthetic
346.0,2,2269.98,0.35,FreeShipping,synthetic
334.0,11,815.1,0.52,NoPromotion,synthetic
80.0,4,2011.53,0.46,NoPromotion,synthetic
329.0,0,719.79,0.46,Discount,synthetic
33.0,5,1282.28,0.33,NoPromotion,synthetic
234.0,10,676.35,0.08,Discount,synthetic
182.0,14,1060.72,0.7,NoPromotion,synthetic
359.0,3,929.6,0.9,NoPromotion,synthetic
194.0,10,1702.14,0.17,NoPromotion,synthetic
121.0,2,198.08,0.17,FreeShipping,synthetic
91.0,9,524.83,0.09,Discount,synthetic
232.0,11,595.2,0.36,FreeShipping,synthetic
300.0,10,194.35,0.8,FreeShipping,synthetic
120.0,5,296.22,0.87,FreeShipping,synthetic
318.0,12,106.23,0.87,FreeShipping,synthetic
7.0,0,1533.47,0.99,FreeShipping,synthetic
55.0,5,666.68,0.76,FreeShipping,synthetic
364.0,9,188.04,0.25,FreeShipping,synthetic
6.0,2,2248.5,0.51,FreeShipping,synthetic
273.0,9,949.95,0.4,NoPromotion,synthetic
191.0,8,1869.77,0.18,NoPromotion,synthetic
38.0,8,2117.7,0.09,NoPromotion,synthetic
125.0,11,659.72,0.34,FreeShipping,synthetic
66.0,8,1296.26,0.09,NoPromotion,synthetic
110.0,5,1508.42,0.75,NoPromotion,synthetic
235.0,2,1009.05,0.34,NoPromotion,synthetic
319.0,1,686.45,0.5,Discount,synthetic
228.0,8,669.34,0.1,Discount,synthetic
111.0,3,2141.96,0.09,NoPromotion,synthetic
349.0,14,233.57,0.84,FreeShipping,synthetic
242.0,14,1084.95,0.98,NoPromotion,synthetic
222.0,5,1054.85,0.97,NoPromotion,synthetic
3.0,14,2060.97,0.26,NoPromotion,synthetic
61.0,8,1824.3,0.54,NoPromotion,synthetic
25.0,2,2112.6,0.21,NoPromotion,synthetic
323.0,2,578.82,0.74,FreeShipping,synthetic
0.0,9,1942.67,0.09,NoPromotion,synthetic
138.0,14,1254.74,0.53,NoPromotion,synthetic
160.0,5,907.85,0.13,NoPromotion,synthetic
137.0,11,584.15,0.68,Discount,synthetic
318.0,4,106.51,0.12,FreeShipping,synthetic
37.0,6,2006.29,0.11,NoPromotion,synthetic
68.0,13,1890.34,0.41,NoPromotion,synthetic
136.0,1,534.96,0.07,Discount,synthetic
295.0,5,215.43,0.78,FreeShipping,synthetic
266.0,8,1901.2,0.8,NoPromotion,synthetic
290.0,4,547.37,0.24,NoPromotion,synthetic
61.0,3,858.87,0.59,NoPromotion,synthetic
295.0,7,1153.92,0.38,NoPromotion,synthetic
178.0,12,823.31,0.75,NoPromotion,synthetic
142.0,0,657.31,0.9,Discount,synthetic
308.0,7,649.66,0.54,FreeShipping,synthetic
66.0,6,1853.32,0.69,NoPromotion,synthetic
14.0,14,1588.17,0.53,NoPromotion,synthetic
230.0,10,1992.63,0.15,NoPromotion,synthetic
96.0,12,696.37,0.74,Discount,synthetic
85.0,1,1929.9,0.88,Discount,synthetic
352.0,5,2071.02,0.11,NoPromotion,synthetic
227.0,12,405.97,0.4,FreeShipping,synthetic
156.0,7,459.8,0.23,FreeShipping,synthetic
331.0,12,1828.09,0.64,NoPromotion,synthetic
242.0,3,1402.54,0.25,NoPromotion,synthetic
68.0,3,535.83,0.91,FreeShipping,synthetic
199.0,6,1208.81,0.95,NoPromotion,synthetic
217.0,12,433.88,0.1,FreeShipping,synthetic
110.0,7,2193.1,0.93,NoPromotion,synthetic
355.0,3,1996.2,0.02,NoPromotion,synthetic
126.0,9,1950.99,0.37,NoPromotion,synthetic
50.0,12,350.19,0.84,FreeShipping,synthetic
266.0,6,394.75,0.24,FreeShipping,synthetic
345.0,13,547.17,0.84,FreeShipping,synthetic
54.0,2,1519.06,0.4,Discount,synthetic
136.0,9,2026.85,0.0,NoPromotion,synthetic
290.0,14,1094.81,0.86,NoPromotion,synthetic
293.0,1,1217.68,0.48,Discount,synthetic
346.0,0,1508.96,0.03,Discount,synthetic
250.0,2,695.74,0.58,Discount,synthetic
343.0,0,969.75,0.58,Discount,synthetic
149.0,9,131.43,0.66,FreeShipping,synthetic
336.0,3,1201.57,0.56,NoPromotion,synthetic
341.0,11,1384.17,0.18,NoPromotion,synthetic
326.0,0,843.85,0.4,Discount,synthetic
210.0,13,592.34,0.19,Discount,synthetic
285.0,7,1509.89,0.29,NoPromotion,synthetic
174.0,1,1358.54,0.44,Discount,synthetic
113.0,13,1443.14,0.16,NoPromotion,synthetic
263.0,12,281.21,0.75,FreeShipping,synthetic
265.0,9,2253.83,0.53,NoPromotion,synthetic
86.0,6,474.77,0.72,FreeShipping,synthetic
348.0,7,165.03,0.22,FreeShipping,synthetic
254.0,12,1528.12,0.34,NoPromotion,synthetic
228.0,2,2229.91,0.56,NoPromotion,synthetic
290.0,7,1833.44,0.86,NoPromotion,synthetic
164.0,5,591.96,0.29,NoPromotion,synthetic
6.0,9,305.22,0.21,FreeShipping,synthetic
146.0,12,2203.47,0.64,NoPromotion,synthetic
81.0,1,2285.5,0.62,Discount,synthetic
10.0,9,2080.26,0.36,NoPromotion,synthetic
118.0,11,2093.57,0.35,NoPromotion,synthetic
255.0,13,970.62,0.86,NoPromotion,synthetic
354.0,3,2438.91,0.78,NoPromotion,synthetic
80.0,9,1457.86,0.99,NoPromotion,synthetic
214.0,0,1263.47,0.51,Discount,synthetic
8.0,7,1777.23,0.4,NoPromotion,synthetic
200.0,5,1648.13,0.42,NoPromotion,synthetic
153.0,9,2261.37,0.69,NoPromotion,synthetic
292.0,10,2074.2,0.53,NoPromotion,synthetic
41.0,3,1295.42,0.07,NoPromotion,synthetic
164.0,8,1293.92,0.72,NoPromotion,synthetic
116.0,9,436.04,0.26,FreeShipping,synthetic
286.0,5,1857.24,0.25,NoPromotion,synthetic
236.0,8,1286.26,0.57,NoPromotion,synthetic
189.0,9,1112.89,0.35,NoPromotion,synthetic
309.0,10,542.49,0.09,NoPromotion,synthetic
28.0,4,2108.99,0.44,NoPromotion,synthetic
163.0,0,1831.68,0.61,Discount,synthetic
309.0,1,1051.96,0.95,Discount,synthetic
68.0,7,615.86,0.03,Discount,synthetic
226.0,3,223.42,0.5,FreeShipping,synthetic
364.0,10,902.19,0.77,NoPromotion,synthetic
72.0,8,943.7,0.41,NoPromotion,synthetic
60.0,10,1535.89,0.46,NoPromotion,synthetic
290.0,2,286.64,0.0,FreeShipping,synthetic
101.0,1,347.42,0.31,Discount,synthetic
304.0,12,1996.03,0.69,NoPromotion,synthetic
302.0,11,1400.56,0.87,NoPromotion,synthetic
263.0,14,2035.75,0.66,NoPromotion,synthetic
197.0,7,699.2,0.49,Discount,synthetic
364.0,9,194.62,0.71,FreeShipping,synthetic
198.0,0,533.38,0.57,Discount,synthetic
249.0,6,181.47,0.7,FreeShipping,synthetic
136.0,2,2318.55,0.97,NoPromotion,synthetic
81.0,14,2168.9,0.84,NoPromotion,synthetic
102.0,0,1660.4,0.36,Discount,synthetic
107.0,11,1254.55,0.88,NoPromotion,synthetic
170.0,7,1158.48,0.4,NoPromotion,synthetic
38.0,14,2029.54,0.54,NoPromotion,synthetic
209.0,0,2226.35,0.62,Discount,synthetic
310.0,2,2188.24,0.02,NoPromotion,synthetic
140.0,1,2353.76,0.8,Discount,synthetic
38.0,13,941.71,0.77,NoPromotion,synthetic
317.0,4,1251.48,0.58,NoPromotion,synthetic
235.0,14,1055.89,0.09,NoPromotion,synthetic
358.0,3,1870.2,0.24,NoPromotion,synthetic
2.0,12,951.09,0.29,NoPromotion,synthetic
323.0,1,660.66,0.04,Discount,synthetic
192.0,4,2470.53,0.43,NoPromotion,synthetic
304.0,8,1731.15,0.22,NoPromotion,synthetic
292.0,12,721.56,0.59,NoPromotion,synthetic
318.0,13,1541.92,0.9,NoPromotion,synthetic
225.0,8,1884.05,0.06,NoPromotion,synthetic
71.0,3,2110.78,0.23,NoPromotion,synthetic
242.0,12,388.81,0.05,FreeShipping,synthetic
312.0,9,188.16,0.96,FreeShipping,synthetic
261.0,4,238.82,0.97,FreeShipping,synthetic
176.0,8,2326.61,0.99,NoPromotion,synthetic
60.0,10,1050.98,0.76,NoPromotion,synthetic
61.0,0,469.35,0.82,Discount,synthetic
268.0,7,1894.89,0.03,NoPromotion,synthetic
67.0,13,2164.3,0.46,NoPromotion,synthetic
322.0,10,410.84,0.89,FreeShipping,synthetic
225.0,11,185.01,0.33,FreeShipping,synthetic
24.0,4,1864.51,0.28,NoPromotion,synthetic
123.0,14,112.2,0.7,FreeShipping,synthetic
175.0,9,1378.25,0.96,NoPromotion,synthetic
175.0,12,2246.75,0.99,NoPromotion,synthetic
113.0,7,2218.98,0.52,NoPromotion,synthetic
114.0,9,1471.17,0.66,NoPromotion,synthetic
39.0,10,2174.78,0.73,NoPromotion,synthetic
215.0,2,2183.59,0.25,Discount,synthetic
303.0,8,901.62,0.24,NoPromotion,synthetic
180.0,9,354.0,0.7,FreeShipping,synthetic
187.0,6,2215.93,0.96,NoPromotion,synthetic
248.0,2,2209.77,0.01,NoPromotion,synthetic
157.0,6,485.82,0.82,FreeShipping,synthetic
205.0,12,1317.92,0.01,NoPromotion,synthetic
223.0,12,1580.62,0.98,NoPromotion,synthetic
16.0,7,723.53,0.63,FreeShipping,synthetic
162.0,5,780.02,0.02,FreeShipping,synthetic
318.0,11,1618.29,0.93,NoPromotion,synthetic
277.0,3,517.01,0.77,NoPromotion,synthetic
191.0,0,1950.36,0.71,Discount,synthetic
192.0,5,1590.2,0.05,NoPromotion,synthetic
305.0,13,2436.37,0.97,NoPromotion,synthetic
163.0,10,412.21,0.76,FreeShipping,synthetic
6.0,12,153.1,0.32,FreeShipping,synthetic
78.0,2,706.02,0.0,Discount,synthetic
225.0,12,2366.33,0.1,NoPromotion,synthetic
38.0,14,2007.54,0.69,NoPromotion,synthetic
287.0,1,1954.77,0.23,Discount,synthetic
26.0,2,2382.07,0.15,FreeShipping,synthetic
20.0,14,1107.35,0.64,NoPromotion,synthetic
261.0,2,758.12,0.98,FreeShipping,synthetic
14.0,1,611.45,0.03,NoPromotion,synthetic
11.0,1,2174.46,0.47,NoPromotion,synthetic
144.0,12,1963.83,0.77,NoPromotion,synthetic
173.0,1,1926.46,0.63,Discount,synthetic
180.0,7,2310.03,0.62,NoPromotion,synthetic
45.0,14,1255.65,0.12,NoPromotion,synthetic
272.0,13,1745.36,0.43,NoPromotion,synthetic
165.0,8,485.98,0.65,FreeShipping,synthetic
116.0,1,2014.14,0.31,Discount,synthetic
204.0,0,127.89,0.07,Discount,synthetic
319.0,1,1251.85,0.6,Discount,synthetic
31.0,10,1767.96,0.86,NoPromotion,synthetic
101.0,8,195.09,0.48,FreeShipping,synthetic
87.0,8,680.91,0.99,Discount,synthetic
79.0,5,1583.57,0.7,NoPromotion,synthetic
201.0,7,123.45,0.33,FreeShipping,synthetic
1.0,0,310.88,0.35,FreeShipping,synthetic
76.0,3,958.72,0.32,NoPromotion,synthetic
165.0,6,582.06,0.69,NoPromotion,synthetic
105.0,6,1708.93,0.95,NoPromotion,synthetic
316.0,2,2250.93,0.59,NoPromotion,synthetic
222.0,8,1801.75,0.87,NoPromotion,synthetic
177.0,11,2024.15,0.34,NoPromotion,synthetic
250.0,14,292.28,0.89,FreeShipping,synthetic
313.0,5,1185.56,0.64,NoPromotion,synthetic
296.0,11,1855.81,0.08,NoPromotion,synthetic
11.0,6,1660.71,0.48,NoPromotion,synthetic
242.0,9,889.64,0.47,NoPromotion,synthetic
172.0,7,2192.4,0.43,NoPromotion,synthetic
287.0,2,488.01,0.02,FreeShipping,synthetic
210.0,5,897.56,0.54,NoPromotion,synthetic
58.0,2,295.66,0.4,FreeShipping,synthetic
92.0,5,173.57,0.26,FreeShipping,synthetic
331.0,0,2183.85,0.73,Discount,synthetic
23.0,3,1609.04,0.74,NoPromotion,synthetic
19.0,11,196.26,0.87,FreeShipping,synthetic
95.0,8,1152.68,0.73,NoPromotion,synthetic
227.0,1,1534.54,0.79,Discount,synthetic
294.0,9,2481.12,0.28,NoPromotion,synthetic
124.0,11,1021.23,0.47,NoPromotion,synthetic
20.0,14,665.9,0.78,FreeShipping,synthetic
86.0,9,670.1,0.97,Discount,synthetic
324.0,5,1281.47,0.25,NoPromotion,synthetic
315.0,12,1168.73,0.51,NoPromotion,synthetic
