variant_id,stock,units_sold_30d,cart_adds,current_price,delta_pct
synthetic-233,44,24,6,1231.93,2.03
synthetic-234,20,13,1,499.31,1.43
synthetic-235,50,20,3,1587.77,-2.59
synthetic-236,10,7,10,840.21,1.31
synthetic-237,38,7,2,1908.75,-0.62
synthetic-238,23,21,4,1070.76,-1.38
synthetic-239,46,19,18,1271.14,-2.69
synthetic-240,58,12,10,801.64,1.63
synthetic-241,52,8,8,832.77,-0.52
synthetic-242,42,7,9,1027.43,-2.54
synthetic-243,49,4,11,1450.45,-1.37
synthetic-244,33,11,18,766.27,1.84
synthetic-245,48,16,9,1443.01,0.13
synthetic-246,11,15,18,1518.0,1.84
synthetic-247,22,4,15,1728.55,-1.5
synthetic-248,24,11,14,1447.72,-2.69
synthetic-249,25,14,9,1258.87,3.0
synthetic-250,25,20,6,261.1,1.18
synthetic-251,8,18,15,407.51,-0.47
synthetic-252,28,17,19,1720.19,-1.09
synthetic-253,41,6,16,1370.3,-0.81
synthetic-254,43,12,1,1793.0,0.18
synthetic-255,25,22,11,1230.37,1.82
synthetic-256,3,21,12,1326.6,14.2
synthetic-257,41,11,1,243.92,2.22
synthetic-258,29,22,12,1152.09,2.63
synthetic-259,34,6,13,831.28,1.6
synthetic-260,28,20,11,1329.51,2.24
synthetic-261,46,24,9,365.06,-0.98
synthetic-262,19,4,0,629.8,-2.34
synthetic-263,13,23,17,733.35,-1.6
synthetic-264,24,15,0,1838.61,-2.73
synthetic-265,14,16,3,592.86,2.7
synthetic-266,36,10,5,1968.19,2.31
synthetic-267,23,10,12,1980.53,1.46
synthetic-268,3,7,19,1708.09,9.61
synthetic-269,50,12,13,615.21,-1.94
synthetic-270,25,8,16,1923.09,1.96
synthetic-271,4,4,14,589.38,11.63
synthetic-272,19,16,9,1127.45,-0.05
synthetic-273,16,23,2,1668.5,-1.65
synthetic-274,55,14,8,1810.86,2.16
synthetic-275,10,8,2,691.33,-0.14
synthetic-276,2,24,1,1751.83,13.67
synthetic-277,39,24,4,1523.38,-1.31
synthetic-278,59,14,5,667.56,1.34
synthetic-279,25,17,5,1931.82,-2.34
synthetic-280,27,4,12,1732.17,-0.03
synthetic-281,31,18,2,826.06,1.07
synthetic-282,26,12,12,1521.04,0.13
synthetic-283,15,7,0,483.21,-2.04
synthetic-284,12,10,12,1455.45,1.08
synthetic-285,26,5,6,1786.95,2.77
synthetic-286,56,18,9,431.97,-0.99
synthetic-287,29,6,17,1672.34,1.99
synthetic-288,28,11,6,547.64,-2.5
synthetic-289,26,16,8,1337.26,-1.44
synthetic-290,59,23,12,1603.72,-2.36
synthetic-291,29,6,9,978.03,2.04
synthetic-292,27,14,4,384.52,2.62
synthetic-293,31,3,17,1905.14,-2.0
synthetic-294,11,21,16,1247.91,-0.92
synthetic-295,25,23,17,1768.77,2.84
synthetic-296,28,11,3,1365.63,0.57
synthetic-297,11,6,10,1678.72,-0.77
synthetic-298,31,18,10,1429.93,-0.32
synthetic-299,45,1,3,967.13,-14.58
